Group,Soft Cap Period,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Staff,AY 24-25, 1st,employee,administrator,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,16,14,30
Student,AY 24-25, 1st,student,degree,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,17,13,30
Staff,AY 24-25, 1st,employee,administrator,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1,29,30
Student,AY 24-25, 1st,student,degree,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30
Faculty & Researcher,AY 24-25, 1st,employee,faculty,22,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,7,22,7,29
Faculty & Researcher,AY 24-25, 1st,employee,researcher,18,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,18,11,18,12,30
Faculty & Researcher,AY 24-25, 1st,employee,researcher,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,10,30
Student,AY 24-25, 1st,student,degree,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,10,30
Student,AY 24-25, 1st,student,degree,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,22,8,30
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,7,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,21,7,22,29
Staff,AY 24-25, 1st,affiliate,contractor,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,28,29
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,1,0,14,10,0,0,0,0,0,0,0,0,4,0,0,0,4,1,24,1,28,29
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,14,29
Staff,AY 24-25, 1st,affiliate,contractor,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,29
Others,AY 24-25, 1st,employee,--Unknown billing code--,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,29
Faculty & Researcher,AY 24-25, 1st,employee,researcher,23,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,23,6,29
Student,AY 24-25, 1st,student,degree,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,27,2,29
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,28,0,28
Staff,AY 24-25, 1st,affiliate,contractor,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,3,26,29
Staff,AY 24-25, 1st,affiliate,contractor,18,0,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,18,8,18,8,26
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,29
Others,AY 24-25, 1st,student,--Unknown billing code--,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,29
Others,AY 24-25, 1st,employee,--Unknown billing code--,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Student,AY 24-25, 1st,student,degree,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,18,11,29
Student,AY 24-25, 1st,student,degree,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,4,25,29
Staff,AY 24-25, 1st,employee,administrator,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Staff,AY 24-25, 1st,affiliate,security_staff,10,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,11,18,29
Staff,AY 24-25, 1st,affiliate,security_staff,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,14,15,29
Others,AY 24-25, 1st,student,--Unknown billing code--,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,27,2,29
Student,AY 24-25, 1st,student,degree,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,24,5,29
Staff,AY 24-25, 1st,employee,administrator,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,2,27,29
Student,AY 24-25, 1st,student,degree,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,10,19,29
Student,AY 24-25, 1st,student,degree,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Staff,AY 24-25, 1st,employee,administrator,21,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,21,6,21,8,29
Others,AY 24-25, 1st,employee,--Unknown billing code--,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,10,19,29
Others,AY 24-25, 1st,employee,--Unknown billing code--,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Student,AY 24-25, 1st,student,degree,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,16,0,29,29
Student,AY 24-25, 1st,student,degree,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,4,25,29
Faculty & Researcher,AY 24-25, 1st,employee,researcher,9,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,21,8,29
Others,AY 24-25, 1st,student,--Unknown billing code--,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Staff,AY 24-25, 1st,employee,administrator,22,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,2,22,5,22,7,29
Student,AY 24-25, 1st,student,degree,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Faculty & Researcher,AY 24-25, 1st,employee,researcher,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29
Student,AY 24-25, 1st,student,degree,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,2,27,29
Staff,AY 24-25, 1st,employee,administrator,10,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,6,10,13,10,19,29
Student,AY 24-25, 1st,student,degree,9,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,9,0,9,20,29
Student,AY 24-25, 1st,student,degree,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,14,29
Others,AY 24-25, 1st,student,--Unknown billing code--,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,29
Others,AY 24-25, 1st,employee,--Unknown billing code--,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
Others,AY 24-25, 1st,student,--Unknown billing code--,5,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,5,23,28
Others,AY 24-25, 1st,employee,--Unknown billing code--,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,21,7,28
Others,AY 24-25, 1st,affiliate,ad_executive_authority,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,10,18,28
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,28
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,0,2,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,2,26,28
Staff,AY 24-25, 1st,affiliate,contractor,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
Faculty & Researcher,AY 24-25, 1st,employee,researcher,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,10,18,28
Staff,AY 24-25, 1st,affiliate,contractor,9,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,11,17,28
Student,AY 24-25, 1st,student,degree,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27,0,27,1,28
Others,AY 24-25, 1st,employee,--Unknown billing code--,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,2,26,28
Staff,AY 24-25, 1st,affiliate,contractor,2,0,14,11,0,0,0,0,0,0,0,0,0,1,0,0,1,2,25,2,26,28
Staff,AY 24-25, 1st,affiliate,contractor,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,16,12,28
Others,AY 24-25, 1st,employee,--Unknown billing code--,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
Staff,AY 24-25, 1st,employee,administrator,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
Faculty & Researcher,AY 24-25, 1st,employee,researcher,1,0,18,0,0,0,0,0,0,0,0,0,9,0,0,0,9,1,18,1,27,28
Staff,AY 24-25, 1st,affiliate,contractor,6,4,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,10,18,28
Others,AY 24-25, 1st,student,--Unknown billing code--,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,17,11,28
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,28
Staff,AY 24-25, 1st,affiliate,contractor,4,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,4,20,4,20,24
Others,AY 24-25, 1st,student,--Unknown billing code--,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,16,28
Student,AY 24-25, 1st,student,degree,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,18,10,28
Faculty & Researcher,AY 24-25, 1st,employee,researcher,9,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,18,9,19,28
Others,AY 24-25, 1st,student,--Unknown billing code--,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
Staff,AY 24-25, 1st,employee,administrator,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,26,2,28
Student,AY 24-25, 1st,student,degree,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,28
Student,AY 24-25, 1st,student,degree,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,10,18,28
Student,AY 24-25, 1st,student,degree,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,28
Student,AY 24-25, 1st,student,degree,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,10,18,28
Student,AY 24-25, 1st,student,degree,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
Student,AY 24-25, 1st,student,degree,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,27,1,28
Staff,AY 24-25, 1st,affiliate,contractor,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,15,12,27
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,23,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,23,2,23,4,27
Staff,AY 24-25, 1st,affiliate,contractor,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,19,8,27
Staff,AY 24-25, 1st,affiliate,contractor,6,0,1,1,0,0,0,0,0,0,10,0,9,0,0,0,9,6,2,6,11,17
Staff,AY 24-25, 1st,affiliate,contractor,2,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,4,23,27
Staff,AY 24-25, 1st,affiliate,security_staff,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,16,11,27
Staff,AY 24-25, 1st,affiliate,contractor,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Staff,AY 24-25, 1st,affiliate,contractor,5,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,8,19,27
Others,AY 24-25, 1st,affiliate,ad_executive_authority,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,26,1,27
Student,AY 24-25, 1st,student,degree,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,7,20,27
Faculty & Researcher,AY 24-25, 1st,affiliate,visiting_scholar,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,4,23,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Faculty & Researcher,AY 24-25, 1st,affiliate,visiting_academic_other,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Student,AY 24-25, 1st,student,degree,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,23,4,27
Staff,AY 24-25, 1st,affiliate,prospective_employee,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,11,16,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,18,9,27
Others,AY 24-25, 1st,affiliate,nyu_building_resident,0,4,0,21,0,0,0,0,0,0,0,0,0,2,0,0,2,4,21,4,23,27
Student,AY 24-25, 1st,student,degree,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,15,12,27
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,2,25,27
Faculty & Researcher,AY 24-25, 1st,employee,researcher,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,26,27
Others,AY 24-25, 1st,student,--Unknown billing code--,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,2,25,27
Student,AY 24-25, 1st,student,degree,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Faculty & Researcher,AY 24-25, 1st,employee,researcher,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,5,22,27
Student,AY 24-25, 1st,student,degree,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,25,2,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Others,AY 24-25, 1st,student,--Unknown billing code--,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
Others,AY 24-25, 1st,student,--Unknown billing code--,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,8,19,27
Student,AY 24-25, 1st,student,degree,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,22,5,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Student,AY 24-25, 1st,student,degree,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Student,AY 24-25, 1st,student,degree,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Student,AY 24-25, 1st,student,degree,2,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,23,2,25,27
Faculty & Researcher,AY 24-25, 1st,employee,researcher,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,5,22,27
Student,AY 24-25, 1st,student,degree,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,12,15,27
Faculty & Researcher,AY 24-25, 1st,employee,researcher,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Faculty & Researcher,AY 24-25, 1st,employee,researcher,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,16,11,27
Student,AY 24-25, 1st,student,degree,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,26
Staff,AY 24-25, 1st,affiliate,security_staff,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,5,21,26
Faculty & Researcher,AY 24-25, 1st,affiliate,visiting_scholar,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,26
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,26
Staff,AY 24-25, 1st,affiliate,contractor,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26
Others,AY 24-25, 1st,employee,--Unknown billing code--,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,24,2,26
Student,AY 24-25, 1st,student,degree,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,24,2,26
Staff,AY 24-25, 1st,affiliate,contractor,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,26
Others,AY 24-25, 1st,employee,--Unknown billing code--,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,14,12,26
Others,AY 24-25, 1st,student,--Unknown billing code--,5,0,19,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,20,5,21,26
Student,AY 24-25, 1st,student,degree,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,8,18,26
Student,AY 24-25, 1st,student,degree,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,24,2,26
Student,AY 24-25, 1st,student,degree,11,0,7,0,0,0,0,0,0,0,3,0,5,0,0,0,5,11,7,11,12,23
Others,AY 24-25, 1st,employee,--Unknown billing code--,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22,0,22,0,22
Student,AY 24-25, 1st,student,degree,3,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,5,21,26
Staff,AY 24-25, 1st,employee,administrator,18,0,1,1,0,0,0,0,0,0,2,0,3,1,0,0,4,18,2,18,6,24
Student,AY 24-25, 1st,student,degree,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,22,4,26
Others,AY 24-25, 1st,student,--Unknown billing code--,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26
Student,AY 24-25, 1st,student,degree,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,11,15,26
Faculty & Researcher,AY 24-25, 1st,employee,researcher,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,20,6,26
Staff,AY 24-25, 1st,employee,administrator,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,22,4,26
Others,AY 24-25, 1st,student,--Unknown billing code--,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,20,6,26
Student,AY 24-25, 1st,student,degree,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,22,4,26
Others,AY 24-25, 1st,student,--Unknown billing code--,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26
Student,AY 24-25, 1st,student,degree,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26
Others,AY 24-25, 1st,student,--Unknown billing code--,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,14,12,26
Student,AY 24-25, 1st,student,degree,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,8,18,26
Student,AY 24-25, 1st,student,degree,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,7,19,26
Staff,AY 24-25, 1st,affiliate,ad_contingent,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,24,25
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,8,17,25
Staff,AY 24-25, 1st,affiliate,contractor,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Others,AY 24-25, 1st,employee,--Unknown billing code--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,15,10,25
Staff,AY 24-25, 1st,employee,administrator,4,1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,20,25
Faculty & Researcher,AY 24-25, 1st,employee,faculty,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,12,25
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,22,0,25,25
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25
Others,AY 24-25, 1st,employee,--Unknown billing code--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Faculty & Researcher,AY 24-25, 1st,employee,researcher,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25
Others,AY 24-25, 1st,employee,--Unknown billing code--,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,16,9,25
Faculty & Researcher,AY 24-25, 1st,employee,researcher,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Staff,AY 24-25, 1st,employee,administrator,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,8,17,25
Others,AY 24-25, 1st,student,--Unknown billing code--,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,4,21,25
Staff,AY 24-25, 1st,employee,administrator,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,19,6,25
Others,AY 24-25, 1st,employee,--Unknown billing code--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Faculty & Researcher,AY 24-25, 1st,employee,researcher,10,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,14,10,15,25
Staff,AY 24-25, 1st,affiliate,contractor,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,2,23,25
Student,AY 24-25, 1st,student,degree,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,17,8,25
Others,AY 24-25, 1st,student,--Unknown billing code--,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
Staff,AY 24-25, 1st,affiliate,security_staff,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,20,25
Staff,AY 24-25, 1st,employee,administrator,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,14,11,25
Others,AY 24-25, 1st,student,--Unknown billing code--,19,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,23,2,25
Others,AY 24-25, 1st,student,--Unknown billing code--,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25
Student,AY 24-25, 1st,student,degree,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25
Student,AY 24-25, 1st,student,degree,12,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,14,11,25
Student,AY 24-25, 1st,student,degree,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,14,11,25
Staff,AY 24-25, 1st,affiliate,contractor,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,24
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,1,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,20,1,23,24
Others,AY 24-25, 1st,Default cost center,--Unknown billing code--,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,24
Others,AY 24-25, 1st,employee,--Unknown billing code--,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
Staff,AY 24-25, 1st,affiliate,contractor,0,0,12,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,0,24,24
Others,AY 24-25, 1st,employee,--Unknown billing code--,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
Others,AY 24-25, 1st,affiliate,--Unknown billing code--,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,18,6,24
Others,AY 24-25, 1st,affiliate,ad_executive_authority,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
Others,AY 24-25, 1st,employee,--Unknown billing code--,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,24
Staff,AY 24-25, 1st,employee,prospective_employee,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4,20,24
Faculty & Researcher,AY 24-25, 1st,employee,faculty,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
Others,AY 24-25, 1st,employee,--Unknown billing code--,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
Staff,AY 24-25, 1st,employee,administrator,14,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,18,6,24
Others,AY 24-25, 1st,employee,--Unknown billing code--,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,24
Faculty & Researcher,AY 24-25, 1st,employee,researcher,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
Staff,AY 24-25, 1st,employee,administrator,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,24
Staff,AY 24-25, 1st,employee,administrator,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,16,24
Faculty & Researcher,AY 24-25, 1st,employee,researcher,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,23,1,24
Others,AY 24-25, 1st,student,--Unknown billing code--,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,23,1,24
